seqnames	start	end	width	strand	gene_id	UTR3	UTR5	intron	exon	CDS	pA_motif	pA_stretch	pT_stretch	Junctions
Sash1:10:8786214-8886070:-1	10	8786214	8886070	99857	-	Sash1		YES	YES	YES	YES	FALSE	FALSE	FALSE	across-junctions
Sash1:10:8885000-8885438:-1	10	8885000	8885438	439	-	Sash1			YES			FALSE	FALSE	FALSE	no-junctions
Dlc1:8:36745793-36746195:-1	8	36745793	36746195	403	-	Dlc1			YES			FALSE	FALSE	FALSE	no-junctions
Dlc1:8:36593242-36613656:-1	8	36593242	36613656	20415	-	Dlc1		YES	YES	YES	YES	FALSE	TRUE	FALSE	across-junctions
Lrrc58:16:37869220-37869700:1	16	37869220	37869700	481	+	Lrrc58			YES			FALSE	TRUE	FALSE	no-junctions
Mast4:13:102905763-102906219:-1	13	102905763	102906219	457	-	Mast4		YES	YES	YES		FALSE	FALSE	FALSE	no-junctions
Mast4:13:103260770-103261130:-1	13	103260770	103261130	361	-	Mast4			YES			FALSE	TRUE	FALSE	no-junctions
Mast4:13:103132896-103133280:-1	13	103132896	103133280	385	-	Mast4			YES			FALSE	TRUE	FALSE	no-junctions
Mast4:13:103104547-103104937:-1	13	103104547	103104937	391	-	Mast4			YES			FALSE	TRUE	FALSE	no-junctions
Mast4:13:102981851-102982283:-1	13	102981851	102982283	433	-	Mast4			YES			FALSE	TRUE	FALSE	no-junctions
Kdr:5:75961750-75964726:-1	5	75961750	75964726	2977	-	Kdr			YES	YES	YES	FALSE	FALSE	FALSE	across-junctions
Cd47:16:49906764-49906830:1	16	49906764	49906830	67	+	Cd47			YES	YES	YES	FALSE	FALSE	FALSE	no-junctions
