Gene	Chr	Strand	MaxPosition	Fit.max.pos	Fit.start	Fit.end	mu	sigma	k	exon.intron	exon.pos	LogLik	polyA_ID
Dlc1	8	-1	36568626	36568626	36568410	36568842	300.562782142766	72.8743812343751	365.429806508687	no-junctions	NA	-2201.76201580442	Dlc1:8:36568410-36568842:-1
Thy1	9	1	44048369	44048386	44048173	44048579	317.475178180845	71.994810198656	579.293529811419	no-junctions	NA	-1781.61569352688	Thy1:9:44048173-44048579:1
Lrrc58	16	1	37883481	37883464	37883347	37883581	283.289707182482	39.7313231744197	1730.63316647131	no-junctions	NA	-3511.13193127502	Lrrc58:16:37883347-37883581:1
Lrrc58	16	1	37888666	37888657	37888444	37888858	291.110119632544	71.8719484207971	728.855085296462	no-junctions	NA	-2126.46713541883	Lrrc58:16:37888444-37888858:1
Lrrc58	16	1	37884062	37884054	37883907	37884201	292.622483751383	49.4319960218122	347.773587505243	no-junctions	NA	-2363.02466193588	Lrrc58:16:37883907-37884201:1
Mast4	13	-1	102852684	102852693	102852534	102852852	309.15521507914	53.3744963571641	237.588476026992	no-junctions	NA	-2010.63336288265	Mast4:13:102852534-102852852:-1
Mast4	13	-1	102964567	102964552	102964318	102964786	285.364261042208	78.5240204568726	233.397535748769	no-junctions	NA	-1880.44072660647	Mast4:13:102964318-102964786:-1
Mast4	13	-1	102978233	102978207	102977976	102978438	274.861166731896	77.7864998507755	215.524362147869	no-junctions	NA	-2131.65974819903	Mast4:13:102977976-102978438:-1
Mast4	13	-1	102732671	102732558	102732486	102732750	187.004548386648	64.8380382551626	202.727998022923	no-junctions	NA	-1417.29167036114	Mast4:13:102732486-102732750:-1
Mast4	13	-1	103018822	103018814	103018613	103019015	292.575824699438	67.4764254034282	203.809644943451	no-junctions	NA	-1891.26435967533	Mast4:13:103018613-103019015:-1
Arhgap10	8	-1	77250594	77250522	77250369	77250675	228.521556742522	51.8464296064339	402.728189014705	no-junctions	NA	-2370.65762320637	Arhgap10:8:77250369-77250675:-1
Arhgap10	8	-1	77450899	77450906	77432752	77517811	307.838110066258	66.768949035773	282.140719501017	across-junctions	(77432752,77432810)(77450693,77450753)(77450828,77450922)(77517630,77517811)	-2151.70483660408	Arhgap10:8:77432752-77517811:-1
Cd47	16	1	49910894	49910900	49896400	49911071	306.524045609548	57.672359913151	1240.27222798007	across-junctions	(49896400,49896447)(49898040,49898131)(49910869,49911071)	-3020.89620900799	Cd47:16:49896400-49911071:1
Cd47	16	1	49911474	49911489	49911294	49911684	315.853290589116	65.9498456897614	1269.90127449166	no-junctions	NA	-2899.86426971442	Cd47:16:49911294-49911684:1
Cd47	16	1	49914807	49914810	49914618	49915002	303.250149462492	64.6690535292663	822.44825513641	no-junctions	NA	-2173.60402518818	Cd47:16:49914618-49915002:1
Cd47	16	1	49912064	49912073	49911914	49912232	309.893995066963	53.0747868565511	256.791934124416	no-junctions	NA	-2224.30050395694	Cd47:16:49911914-49912232:1
Cd47	16	1	49906808	49906797	49906764	49906830	8665.46569499253	11.2699413736701	1298.88342171383	no-junctions	NA	-54615.3333720206	Cd47:16:49906764-49906830:1
Rgs3	4	1	62702810	62702817	62702625	62703009	307.009888834142	64.8774680238755	757.690885856079	no-junctions	NA	-2337.30083189454	Rgs3:4:62702625-62703009:1
Rgs3	4	1	62625966	62625957	62625768	62626146	291.156413981821	63.2184968030426	239.603993764119	no-junctions	NA	-1871.02116694932	Rgs3:4:62625768-62626146:1
Cxcl12	6	1	117171570	117171537	117168573	117176136	267.542594696268	66.1600443076703	3271.3312493302	across-junctions	(117168573,117168715)(117171482,117171598)(117173492,117173577)(117176086,117176136)	-3572.56082574011	Cxcl12:6:117168573-117176136:1
Cxcl12	6	1	117181167	117181174	117180973	117181367	307.204588218085	67.1454958748723	1106.09074656364	no-junctions	NA	-2163.14533428495	Cxcl12:6:117180973-117181367:1
Cxcl12	6	1	117174835	117174825	117174603	117175047	1247.13979485661	74.5260436733196	1115.74217458156	no-junctions	NA	-10548.4881685429	Cxcl12:6:117174603-117175047:1
Kdr	5	-1	75933027	75932921	75932827	75933110	194.734933525696	63.6125966638006	1188.73825251575	no-junctions	NA	-2374.51967266738	Kdr:5:75932827-75933110:-1
Kdr	5	-1	75933482	75933479	75933284	75933674	297.413875462128	65.3490246225877	845.858514711123	no-junctions	NA	-2653.97882772539	Kdr:5:75933284-75933674:-1
